0.10000,0.14229,0.12508,0.13120,0.16372,0.21291,0.18433,0.17899,0.16270,0.23996
0.14229,0.10000,0.16232,0.17332,0.14206,0.25186,0.22519,0.20624,0.16847,0.27530
0.12508,0.16232,0.10000,0.12627,0.16965,0.18967,0.16330,0.15507,0.15246,0.21522
0.13120,0.17332,0.12627,0.10000,0.19154,0.18911,0.15804,0.17372,0.17871,0.22033
0.16372,0.14206,0.16965,0.19154,0.10000,0.24931,0.22921,0.19097,0.14116,0.26484
0.21291,0.25186,0.18967,0.18911,0.24931,0.10000,0.13205,0.16481,0.21347,0.13622
0.18433,0.22519,0.16330,0.15804,0.22921,0.13205,0.10000,0.15943,0.19870,0.16672
0.17899,0.20624,0.15507,0.17372,0.19097,0.16481,0.15943,0.10000,0.15127,0.17399
0.16270,0.16847,0.15246,0.17871,0.14116,0.21347,0.19870,0.15127,0.10000,0.22515
0.23996,0.27530,0.21522,0.22033,0.26484,0.13622,0.16672,0.17399,0.22515,0.10000
